"","ID","test","order","subjective","objective","word","reading_time","accuracy"
"345","FAP","words_reading",2,"ON","OFF","̩taler",1840,1
"346","FAP","words_reading",2,"ON","OFF","ardent",610,1
"347","FAP","words_reading",2,"ON","OFF","cadre",1260,1
"348","FAP","words_reading",2,"ON","OFF","proche",520,0
"349","FAP","words_reading",2,"ON","OFF","coureuse",1170,1
"350","FAP","words_reading",2,"ON","OFF","concours",890,1
"351","FAP","words_reading",2,"ON","OFF","donne",320,1
"352","FAP","words_reading",2,"ON","OFF","napper",670,1
"353","FAP","words_reading",2,"ON","OFF","toque",350,1
"354","FAP","words_reading",2,"ON","OFF","crains",670,1
"355","FAP","words_reading",2,"ON","OFF","cruelle",570,1
"356","FAP","words_reading",2,"ON","OFF","parage",740,1
"357","FAP","words_reading",2,"ON","OFF","veste",530,1
"358","FAP","words_reading",2,"ON","OFF","broche",510,1
"359","FAP","words_reading",2,"ON","OFF","cabre",460,1
"360","FAP","words_reading",2,"ON","OFF","ocre",690,1
"361","FAP","words_reading",3,"ON","ON","l̩vrier",1930,1
"362","FAP","words_reading",3,"ON","ON","boisson",1130,1
"363","FAP","words_reading",3,"ON","ON","complais",550,1
"364","FAP","words_reading",3,"ON","ON","salirait",870,1
"365","FAP","words_reading",3,"ON","ON","veste",520,1
"366","FAP","words_reading",3,"ON","ON","bouche",480,1
"367","FAP","words_reading",3,"ON","ON","toque",530,1
"368","FAP","words_reading",3,"ON","ON","concours",450,1
"369","FAP","words_reading",3,"ON","ON","cadre",580,1
"370","FAP","words_reading",3,"ON","ON","poisson",1160,1
"371","FAP","words_reading",3,"ON","ON","cruelle",470,1
"372","FAP","words_reading",3,"ON","ON","trapue",620,1
"373","FAP","words_reading",3,"ON","ON","fougue",760,0
"374","FAP","words_reading",3,"ON","ON","visible",660,1
"375","FAP","words_reading",3,"ON","ON","bonne",460,1
"376","FAP","words_reading",3,"ON","ON","happer",700,1
"377","FAP","words_reading",3,"ON","ON","cabre",1540,0
"378","FAP","words_reading",3,"ON","ON","arpent",760,1
"379","FAP","words_reading",3,"ON","ON","avide",710,1
"380","FAP","words_reading",3,"ON","ON","coureuse",860,1
"381","FAP","words_reading",3,"ON","ON","oncle",580,1
"382","FAP","words_reading",3,"ON","ON","ocre",660,1
"383","FAP","words_reading",3,"ON","ON","pavage",870,1
"384","FAP","words_reading",3,"ON","ON","napper",590,1
"385","FAP","words_reading",3,"ON","ON","couve",670,1
"386","FAP","words_reading",3,"ON","ON","contours",950,1
