"","ID","cohorte","stimulus","word_freq","pseudoword_type","lexicality","length","display_condition","rt","accuracy","time_of_each_apparition","time_of_each_disparition"
"5368","R2AofF","dyslexic_children","rock",2,0,"word",4,15,1739.48600000003,1,"830721.514,830788.235,830854.954,830921.576,830988.319,831054.956,831121.577,831188.326,831254.749,831321.591,831388.332,831454.953,831521.574,831588.316,831654.947,831721.484,831788.306,831854.93,831921.563,831988.316,832054.946,832121.57,832188.319,832254.738,832321.542,832388.304,832454.93","830754.782,830821.579,830888.326,830954.952,831021.577,831088.322,831154.974,831221.474,831288.324,831354.935,831421.56,831488.314,831554.949,831621.567,831688.318,831754.759,831821.574,831888.31,831954.938,832021.569,832088.315,832154.941,832221.507,832288.221,832354.903,832421.563"
"5369","R2AofF","dyslexic_children","éqouser",0,5,"pseudoword",7,15,872.991000000038,0,"784022.009,784088.848,784155.458,784222.094,784288.811,784355.452,784422.094,784488.836,784555.22,784622.094,784688.82,784755.457,784822.088,784888.798","784055.202,784122.106,784188.871,784255.444,784322.102,784388.794,784455.485,784521.965,784588.836,784655.477,784722.09,784788.821,784855.45"
"5370","R2AofF","dyslexic_children","père",4,0,"word",4,10,989.535999999993,1,"202557.964,202657.935,202757.974,202857.806,202957.885,203057.967,203157.939,203257.947,203357.765,203457.738","202607.957,202707.973,202807.975,202907.897,203007.949,203107.941,203207.948,203307.942,203407.76,203507.809"
"5371","R2AofF","dyslexic_children","douger",0,5,"pseudoword",6,0.01,1161.31400000001,0,"498788.686",""
"5372","R2AofF","dyslexic_children","part",4,0,"word",4,10,894.163999952259,1,"767255.636,767355.529,767455.657,767555.43,767655.396,767756.313,767855.333,767955.321,768055.346","767305.658,767405.656,767505.646,767605.569,767705.503,767805.454,767905.292,768005.333,768105.372"
"5373","R2AofF","dyslexic_children","caviar",1,0,"word",6,0.01,1328.10799995234,0,"508255.192",""
"5374","R2AofF","dyslexic_children","dent",3,0,"word",4,10,928.856999952346,0,"537221.443,537321.501,537421.515,537521.444,537621.51,537721.499,537821.454,537921.498,538021.336,538121.492","537271.43,537371.485,537471.373,537571.487,537671.367,537771.498,537871.414,537971.467,538071.392"
"5375","R2AofF","dyslexic_children","forger",1,0,"word",6,15,1555.71399985696,0,"285323.686,285390.416,285456.987,285523.671,285590.425,285657.059,285723.673,285790.412,285857.035,285923.516,285990.343,286057.054,286123.684,286190.453,286256.989,286323.665,286390.406,286456.783,286523.662,286590.389,286657.05,286723.667,286790.412,286857.027","285357.064,285423.56,285490.357,285557.048,285623.676,285690.404,285757.068,285823.682,285890.413,285956.993,286023.672,286090.448,286157.047,286223.669,286290.372,286357.057,286423.528,286490.31,286557.056,286623.67,286690.402,286757.03,286823.674"
"5376","R2AofF","dyslexic_children","corqs",0,5,"pseudoword",5,10,1394.46899985697,0,"778288.931,778388.849,778488.831,778588.875,778688.901,778788.908,778888.884,778988.779,779088.853,779188.854,779288.898,779388.897,779488.598,779588.869","778338.938,778438.701,778538.899,778638.844,778738.843,778838.891,778938.7,779038.779,779138.895,779238.905,779338.983,779438.886,779538.802,779638.868"
"5377","R2AofF","dyslexic_children","beaucuop",0,1,"pseudoword",8,10,862.229999952368,0,"645423.57,645523.627,645623.623,645723.613,645823.617,645923.569,646023.623,646123.624,646223.627","645473.593,645573.617,645673.603,645773.599,645873.454,645973.604,646073.601,646173.631,646273.594"
"5378","R2AofF","dyslexic_children","granb",0,5,"pseudoword",5,10,1155.21599985694,1,"668656.684,668756.73,668856.73,668956.724,669056.719,669156.651,669256.715,669356.712,669456.732,669556.614,669656.501,669756.563","668706.735,668806.721,668906.74,669006.74,669106.596,669206.684,669306.715,669406.724,669506.739,669606.679,669706.647,669806.678"
